feature
customer_geolocation_zip_code_prefix
distance_customer_geolocation_to_seller_geolocation_km
order_purchase_timestamp_hour
customer_geolocation_lat
order_delivered_customer_date_month
review_score
freight_value
customer_geolocation_lng
order_approved_at_hour
order_delivered_customer_date_hour
order_estimated_delivery_date_month
order_purchase_timestamp_month
order_delivered_customer_date_day
seller_geolocation_lng
order_purchase_timestamp_day
seller_zip_code_prefix
seller_geolocation_lat
payment_value
product_density_g_cm3
price
product_volume_cm3
order_approved_at_day
product_weight_g
shipping_limit_date_day
order_estimated_delivery_date_day
customer_state_SP
customer_geolocation_state_SP
order_delivered_carrier_date_hour
order_delivered_carrier_date_day
product_length_cm
