,value
count,114058.0
mean_days,12.484554241470228
median_days,10.200636574074075
p90_days,22.905694444444443
p95_days,29.02775520833332
std_days,9.439097851171484
cv,0.7560620642599651
pct_negative_days,0.0
pct_>p95_days,5.000087674691824
avg_delay_days,-11.360244277724524
pct_on_time,92.18204773010223
pct_late,7.817952269897771
